gene,observed_count,null_total_count,null_mean_count_per_perm
C1GALT1,0,25,0.05
C1GALT1C1,0,16,0.032
C1QA,0,144,0.288
C1QB,0,92,0.184
C1QBP,0,32,0.064
C1QL1,0,137,0.274
C1QTNF1,0,33,0.066
C1QTNF2,0,123,0.246
C1QTNF3,0,95,0.19
C1QTNF4,0,143,0.286
C1QTNF5,0,33,0.066
C19orf25,0,204,0.408
C19orf18,0,127,0.254
C16orf91,0,71,0.142
C17orf74,0,72,0.144
C16orf93,0,108,0.216
C16orf95,0,104,0.208
C17orf104,0,84,0.168
C17orf105,0,128,0.256
C17orf47,0,73,0.146
C17orf49,0,70,0.14
C17orf50,0,73,0.146
C17orf51,0,65,0.13
C17orf53,0,74,0.148
C17orf58,0,84,0.168
C17orf59,0,115,0.23
C17orf62,0,87,0.174
C17orf64,0,90,0.18
C17orf70,0,77,0.154
C17orf75,0,6,0.012
C19orf12,0,109,0.218
C17orf77,0,135,0.27
C17orf78,0,35,0.07
C17orf80,0,8,0.016
C17orf82,0,32,0.064
C17orf85,0,6,0.012
C17orf96,0,52,0.104
C17orf97,0,219,0.438
C17orf99,0,49,0.098
C18orf21,0,22,0.044
C18orf25,0,2,0.004
C18orf32,0,38,0.076
C18orf54,0,97,0.194
C18orf8,0,14,0.028
C19orf10,0,122,0.244
C1QTNF6,0,12,0.024
C1QTNF7,0,47,0.094
C1QTNF9,0,119,0.238
C1orf74,0,97,0.194
C1orf216,0,104,0.208
C1orf220,0,105,0.21
C1orf228,0,76,0.152
C1orf27,0,15,0.03
C1orf35,0,106,0.212
C1orf43,0,36,0.072
C1orf50,0,29,0.058
C1orf52,0,24,0.048
C1orf53,0,141,0.282
C1orf54,0,41,0.082
C1orf56,0,65,0.13
C1orf61,0,94,0.188
C1orf64,0,163,0.326
C1orf68,0,80,0.16
C1orf85,0,119,0.238
C1R,0,62,0.124
C1orf86,0,21,0.042
C1orf87,0,106,0.212
C1orf94,0,70,0.14
C1orf95,0,65,0.13
C2,0,63,0.126
C20orf141,0,79,0.158
C20orf144,0,109,0.218
C20orf166,0,85,0.17
C20orf173,0,40,0.08
C20orf181,0,74,0.148
C20orf187,0,120,0.24
C20orf194,0,86,0.172
C20orf195,0,40,0.08
C20orf196,0,143,0.286
C1orf213,0,25,0.05
C1orf210,0,115,0.23
C1orf21,0,231,0.462
C1orf200,0,46,0.092
C1RL,0,81,0.162
C1S,0,25,0.05
C1orf100,0,112,0.224
C1orf101,0,155,0.31
C1orf105,0,58,0.116
C1orf106,0,39,0.078
C1orf109,0,50,0.1
C1orf110,0,167,0.334
C1orf111,0,86,0.172
C1orf112,0,79,0.158
C1orf115,0,104,0.208
C1orf116,0,49,0.098
C1orf122,0,127,0.254
C1orf123,0,40,0.08
C1orf127,0,128,0.256
C1orf131,0,66,0.132
C1orf145,0,88,0.176
C1orf158,0,81,0.162
C1orf159,0,75,0.15
C1orf162,0,155,0.31
C1orf167,0,55,0.11
C1orf168,0,87,0.174
C1orf174,0,36,0.072
C1orf177,0,83,0.166
C1orf180,0,46,0.092
C1orf186,0,68,0.136
C1orf192,0,109,0.218
C1orf194,0,52,0.104
C1orf198,0,146,0.292
C16orf92,0,84,0.168
C16orf89,0,26,0.052
BZRAP1,0,43,0.086
C11orf74,0,104,0.208
C11orf45,0,97,0.194
C11orf49,0,94,0.188
C11orf52,0,75,0.15
C11orf53,0,106,0.212
C11orf54,0,37,0.074
C11orf57,0,25,0.05
C11orf58,0,15,0.03
C11orf63,0,149,0.298
C11orf65,0,201,0.402
C11orf68,0,73,0.146
C11orf70,0,108,0.216
C11orf71,0,59,0.118
C11orf72,0,51,0.102
C11orf73,0,56,0.112
C11orf80,0,66,0.132
C11orf42,0,171,0.342
C11orf83,0,105,0.21
C11orf84,0,118,0.236
C11orf85,0,211,0.422
C11orf86,0,8,0.016
C11orf87,0,49,0.098
C11orf88,0,89,0.178
C11orf95,0,60,0.12
C11orf96,0,92,0.184
C12orf10,0,64,0.128
C12orf29,0,81,0.162
C12orf4,0,8,0.016
C12orf40,0,78,0.156
C12orf42,0,84,0.168
C12orf43,0,73,0.146
C11orf44,0,101,0.202
C11orf40,0,84,0.168
C16orf87,0,109,0.218
C10orf62,0,104,0.208
BZW2,0,11,0.022
C10orf10,0,62,0.124
C10orf107,0,178,0.356
C10orf11,0,147,0.294
C10orf113,0,79,0.158
C10orf12,0,39,0.078
C10orf126,0,35,0.07
C10orf2,0,118,0.236
C10orf25,0,155,0.31
C10orf32,0,34,0.068
C10orf35,0,77,0.154
C10orf53,0,138,0.276
C10orf54,0,54,0.108
C10orf55,0,65,0.13
C10orf67,0,65,0.13
C11orf31,0,38,0.076
C10orf71,0,81,0.162
C10orf76,0,12,0.024
C10orf82,0,65,0.13
C10orf85,0,33,0.066
C10orf88,0,21,0.042
C10orf90,0,49,0.098
C10orf91,0,91,0.182
C10orf95,0,157,0.314
C10orf99,0,39,0.078
C11orf1,0,88,0.176
C11orf16,0,81,0.162
C11orf21,0,191,0.382
C11orf24,0,20,0.04
C11orf30,0,10,0.02
C12orf45,0,69,0.138
C12orf49,0,62,0.124
C12orf5,0,10,0.02
C16orf13,0,136,0.272
C15orf32,0,65,0.13
C15orf37,0,168,0.336
C15orf39,0,89,0.178
C15orf40,0,15,0.03
C15orf41,0,92,0.184
C15orf43,0,114,0.228
C15orf48,0,132,0.264
C15orf52,0,41,0.082
C15orf54,0,182,0.364
C15orf56,0,84,0.168
C15orf57,0,56,0.112
C15orf59,0,132,0.264
C15orf61,0,95,0.19
C15orf62,0,23,0.046
C16orf3,0,67,0.134
C12orf50,0,199,0.398
C16orf45,0,94,0.188
C16orf46,0,111,0.222
C16orf52,0,31,0.062
C16orf54,0,76,0.152
C16orf58,0,111,0.222
C16orf59,0,101,0.202
C16orf62,0,23,0.046
C16orf70,0,44,0.088
C16orf71,0,21,0.042
C16orf72,0,13,0.026
C16orf78,0,99,0.198
C16orf80,0,27,0.054
C16orf82,0,84,0.168
C16orf86,0,42,0.084
C15orf27,0,56,0.112
C15orf26,0,139,0.278
C14orf93,0,67,0.134
C14orf80,0,45,0.09
C12orf54,0,40,0.08
C12orf55,0,142,0.284
C12orf56,0,115,0.23
C12orf57,0,64,0.128
C12orf60,0,175,0.35
C12orf61,0,74,0.148
C12orf65,0,121,0.242
C12orf66,0,80,0.16
C12orf74,0,91,0.182
C12orf75,0,104,0.208
C12orf76,0,54,0.108
C14orf1,0,60,0.12
C14orf105,0,64,0.128
C14orf119,0,34,0.068
C14orf132,0,40,0.08
C14orf142,0,98,0.196
C14orf159,0,67,0.134
C14orf166,0,18,0.036
C14orf169,0,121,0.242
C14orf178,0,49,0.098
C14orf180,0,60,0.12
C14orf182,0,95,0.19
C14orf183,0,114,0.228
C14orf2,0,53,0.106
C14orf23,0,83,0.166
C14orf28,0,48,0.096
C14orf37,0,33,0.066
C14orf39,0,53,0.106
C14orf79,0,89,0.178
EIF3J,0,3,0.006
EIF3K,0,45,0.09
EIF3L,0,21,0.042
KCNAB2,0,40,0.08
KBTBD3,0,119,0.238
KBTBD4,0,60,0.12
KBTBD7,0,42,0.084
KBTBD8,0,80,0.16
KCMF1,0,25,0.05
KCNA1,0,85,0.17
KCNA10,0,69,0.138
KCNA2,0,84,0.168
KCNA3,0,92,0.184
KCNA4,0,59,0.118
KCNA5,0,104,0.208
KCNA6,0,154,0.308
KCNA7,0,109,0.218
KCNAB1,0,31,0.062
KCNAB3,0,150,0.3
KAZN,0,62,0.124
KCNB1,0,82,0.164
KCNB2,0,101,0.202
KCNC1,0,58,0.116
KCNC2,0,98,0.196
KCNC3,0,64,0.128
KCNC4,0,37,0.074
KCND1,0,51,0.102
KCND2,0,52,0.104
KCND3,0,58,0.116
KCNE1,0,104,0.208
KCNE1L,0,34,0.068
KCNE2,0,31,0.062
KCNE4,0,47,0.094
KCNF1,0,100,0.2
KBTBD12,0,100,0.2
KAZALD1,0,59,0.118
KCNG2,0,143,0.286
KANSL1,0,63,0.126
JSRP1,0,88,0.176
JTB,0,33,0.066
JUN,0,81,0.162
JUNB,0,103,0.206
JUND,0,90,0.18
JUP,0,107,0.214
KAAG1,0,122,0.244
KAL1,0,89,0.178
KALP,0,96,0.192
KALRN,0,37,0.074
KANK1,0,142,0.284
KANK2,0,18,0.036
KANK3,0,61,0.122
KANK4,0,53,0.106
KANSL1L,0,100,0.2
KATNBL1,0,61,0.122
KANSL2,0,13,0.026
KANSL3,0,69,0.138
KARS,0,37,0.074
KAT2A,0,77,0.154
KAT2B,0,51,0.102
KAT5,0,54,0.108
KAT6A,0,32,0.064
KAT6B,0,32,0.064
KAT7,0,39,0.078
KAT8,0,62,0.124
KATNA1,0,19,0.038
KATNAL1,0,52,0.104
KATNAL2,0,109,0.218
KATNB1,0,103,0.206
KCNG1,0,81,0.162
KCNG3,0,72,0.144
KCTD1,0,114,0.228
KCNN3,0,21,0.042
KCNK2,0,61,0.122
KCNK3,0,118,0.236
KCNK4,0,87,0.174
KCNK5,0,91,0.182
KCNK6,0,63,0.126
KCNK7,0,38,0.076
KCNK9,0,150,0.3
KCNMA1,0,40,0.08
KCNMB1,0,141,0.282
KCNMB2,0,75,0.15
KCNMB3,0,132,0.264
KCNMB4,0,111,0.222
KCNN1,0,51,0.102
KCNN2,0,100,0.2
KCNN4,0,163,0.326
KCNK16,0,4,0.008
KCNQ1,0,87,0.174
KCNQ1DN,0,8,0.016
KCNQ2,0,143,0.286
KCNQ3,0,18,0.036
KCNQ4,0,65,0.13
KCNQ5,0,91,0.182
KCNRG,0,56,0.112
KCNS1,0,52,0.104
KCNS2,0,110,0.22
KCNS3,0,11,0.022
KCNT1,0,50,0.1
KCNT2,0,93,0.186
KCNV1,0,77,0.154
KCNV2,0,65,0.13
KCNK17,0,45,0.09
KCNK15,0,124,0.248
KCNG4,0,27,0.054
KCNJ11,0,130,0.26
KCNH1,0,47,0.094
KCNH2,0,26,0.052
KCNH3,0,52,0.104
KCNH4,0,80,0.16
KCNH5,0,56,0.112
KCNH6,0,48,0.096
KCNH7,0,114,0.228
KCNH8,0,111,0.222
KCNIP1,0,107,0.214
KCNIP2,0,75,0.15
KCNIP3,0,32,0.064
KCNIP4,0,77,0.154
KCNJ1,0,82,0.164
KCNJ10,0,45,0.09
KCNJ12,0,43,0.086
KCNK13,0,106,0.212
KCNJ13,0,117,0.234
KCNJ14,0,137,0.274
KCNJ15,0,107,0.214
KCNJ16,0,47,0.094
KCNJ2,0,73,0.146
KCNJ3,0,105,0.21
KCNJ4,0,132,0.264
KCNJ5,0,18,0.036
KCNJ6,0,49,0.098
KCNJ8,0,59,0.118
KCNJ9,0,122,0.244
KCNK1,0,82,0.164
KCNK10,0,64,0.128
KCNK12,0,100,0.2
JRK,0,116,0.232
JPH3,0,79,0.158
JPH2,0,6,0.012
ITGA11,0,48,0.096
ISLR2,0,92,0.184
ISM1,0,114,0.228
ISM2,0,43,0.086
ISOC1,0,37,0.074
ISOC2,0,85,0.17
IST1,0,9,0.018
ISX,0,43,0.086
ISY1,0,16,0.032
ISYNA1,0,132,0.264
ITCH,0,17,0.034
ITFG1,0,4,0.008
ITFG2,0,34,0.068
ITFG3,0,71,0.142
ITGA10,0,57,0.114
ITGA2,0,64,0.128
ISL2,0,96,0.192
ITGA2B,0,170,0.34
ITGA3,0,71,0.142
ITGA4,0,20,0.04
ITGA5,0,80,0.16
ITGA6,0,79,0.158
ITGA7,0,21,0.042
ITGA8,0,86,0.172
ITGA9,0,77,0.154
ITGAD,0,96,0.192
ITGAE,0,173,0.346
ITGAL,0,59,0.118
ITGAM,0,68,0.136
ITGAV,0,13,0.026
ITGAX,0,87,0.174
ISLR,0,29,0.058
ISL1,0,26,0.052
JPH1,0,95,0.19
IRG1,0,80,0.16
IRAK4,0,35,0.07
IREB2,0,9,0.018
IRF1,0,43,0.086
IRF2,0,55,0.11
IRF2BP1,0,110,0.22
IRF2BP2,0,53,0.106
IRF2BPL,0,84,0.168
IRF3,0,115,0.23
IRF4,0,138,0.276
IRF5,0,116,0.232
IRF6,0,50,0.1
IRF7,0,110,0.22
IRF8,0,39,0.078
IRF9,0,62,0.124
IRGC,0,51,0.102
ISG20L2,0,77,0.154
IRGQ,0,89,0.178
IRS1,0,138,0.276
IRS2,0,104,0.208
IRS4,0,55,0.11
IRX1,0,51,0.102
IRX2,0,74,0.148
IRX3,0,70,0.14
IRX4,0,120,0.24
IRX5,0,66,0.132
ISCA1,0,141,0.282
ISCA2,0,61,0.122
ISCU,0,43,0.086
ISG15,0,163,0.326
ISG20,0,34,0.068
ITGB1,0,40,0.08
ITGB1BP1,0,26,0.052
ITGB1BP2,0,23,0.046
JAKMIP2,0,157,0.314
IWS1,0,28,0.056
IYD,0,86,0.172
IZUMO1,0,48,0.096
IZUMO2,0,117,0.234
IZUMO4,0,71,0.142
JADE1,0,39,0.078
JADE2,0,51,0.102
JADE3,0,65,0.13
JAG1,0,63,0.126
JAG2,0,9,0.018
JAGN1,0,24,0.048
JAK1,0,40,0.08
JAK3,0,121,0.242
JAKMIP1,0,123,0.246
JAKMIP3,0,53,0.106
ITGB3,0,191,0.382
JAM2,0,122,0.244
JAM3,0,147,0.294
JARID2,0,55,0.11
JAZF1,0,132,0.264
JDP2,0,157,0.314
JKAMP,0,1,0.002
JMJD1C,0,67,0.134
JMJD4,0,117,0.234
JMJD6,0,83,0.166
JMJD7,0,73,0.146
JMJD8,0,55,0.11
JMY,0,19,0.038
JOSD1,0,13,0.026
JOSD2,0,102,0.204
IVL,0,122,0.244
IVD,0,52,0.104
ITSN2,0,28,0.056
ITSN1,0,137,0.274
ITGB3BP,0,45,0.09
ITGB4,0,59,0.118
ITGB5,0,105,0.21
ITGB6,0,64,0.128
ITGB7,0,49,0.098
ITGB8,0,95,0.19
ITGBL1,0,43,0.086
ITIH1,0,67,0.134
ITIH2,0,125,0.25
ITIH3,0,50,0.1
ITIH4,0,77,0.154
ITIH5,0,49,0.098
ITIH6,0,18,0.036
ITK,0,43,0.086
ITLN1,0,160,0.32
ITM2A,0,97,0.194
ITM2B,0,28,0.056
ITM2C,0,195,0.39
ITPA,0,31,0.062
ITPK1,0,96,0.192
ITPKA,0,122,0.244
ITPKB,0,23,0.046
ITPKC,0,97,0.194
ITPR1,0,21,0.042
ITPR2,0,19,0.038
ITPR3,0,49,0.098
ITPRIP,0,38,0.076
ITPRIPL1,0,70,0.14
ITPRIPL2,0,123,0.246
KCP,0,9,0.018
KCTD10,0,37,0.074
IRAK2,0,92,0.184
KIR2DS2,0,143,0.286
KIF5A,0,30,0.06
KIF5C,0,115,0.23
KIF6,0,180,0.36
KIF7,0,58,0.116
KIF9,0,111,0.222
KIFAP3,0,35,0.07
KIFC1,0,48,0.096
KIFC2,0,50,0.1
KIFC3,0,46,0.092
KIN,0,20,0.04
KIR2DL1,0,191,0.382
KIR2DL4,0,147,0.294
KIR2DL5A,0,105,0.21
KIR2DS1,0,153,0.306
KIR2DS4,0,166,0.332
KIF3C,0,100,0.2
KIR2DS5,0,120,0.24
KIR3DL3,0,171,0.342
KIR3DS1,0,139,0.278
KIR3DX1,0,113,0.226
KIRREL,0,35,0.07
KIRREL2,0,66,0.132
KIRREL3,0,32,0.064
KISS1,0,127,0.254
KISS1R,0,55,0.11
KIT,0,126,0.252
KITLG,0,132,0.264
KIZ,0,8,0.016
KL,0,84,0.168
KLB,0,101,0.202
KIF4A,0,158,0.316
KIF3B,0,92,0.184
KLC2,0,55,0.11
KIF1B,0,72,0.144
KIAA2022,0,166,0.332
KIAA2026,0,62,0.124
KIF11,0,151,0.302
KIF12,0,81,0.162
KIF13A,0,60,0.12
KIF13B,0,97,0.194
KIF14,0,132,0.264
KIF15,0,137,0.274
KIF16B,0,74,0.148
KIF17,0,60,0.12
KIF18A,0,118,0.236
KIF18B,0,41,0.082
KIF19,0,25,0.05
KIF1A,0,62,0.124
KIF1C,0,104,0.208
KIF3A,0,47,0.094
KIF20A,0,82,0.164
KIF20B,0,57,0.114
KIF21A,0,175,0.35
KIF21B,0,38,0.076
KIF22,0,23,0.046
KIF23,0,135,0.27
KIF24,0,147,0.294
KIF25,0,44,0.088
KIF26A,0,28,0.056
KIF26B,0,41,0.082
KIF27,0,129,0.258
KIF2A,0,58,0.116
KIF2B,0,42,0.084
KIF2C,0,132,0.264
KLC1,0,55,0.11
KLC3,0,10,0.02
KCTD11,0,23,0.046
KLHL34,0,138,0.276
KLHL17,0,146,0.292
KLHL18,0,77,0.154
KLHL2,0,64,0.128
KLHL20,0,13,0.026
KLHL21,0,71,0.142
KLHL22,0,41,0.082
KLHL24,0,68,0.136
KLHL25,0,17,0.034
KLHL26,0,38,0.076
KLHL28,0,19,0.038
KLHL29,0,86,0.172
KLHL3,0,77,0.154
KLHL31,0,121,0.242
KLHL32,0,133,0.266
KLHL35,0,8,0.016
KLHL14,0,181,0.362
KLHL36,0,31,0.062
KLHL4,0,100,0.2
KLHL40,0,92,0.184
KLHL41,0,86,0.172
KLHL42,0,49,0.098
KLHL5,0,17,0.034
KLHL6,0,31,0.062
KLHL7,0,14,0.028
KLHL9,0,31,0.062
KLK1,0,53,0.106
KLK10,0,37,0.074
KLK11,0,20,0.04
KLK12,0,25,0.05
KLK13,0,61,0.122
KLHL15,0,8,0.016
KLHL13,0,103,0.206
KLC4,0,106,0.212
KLF7,0,63,0.126
KLF1,0,66,0.132
KLF10,0,89,0.178
KLF11,0,134,0.268
KLF12,0,34,0.068
KLF13,0,48,0.096
KLF14,0,36,0.072
KLF15,0,58,0.116
KLF16,0,121,0.242
KLF17,0,145,0.29
KLF2,0,61,0.122
KLF3,0,57,0.114
KLF4,0,65,0.13
KLF5,0,95,0.19
KLF6,0,66,0.132
KLF8,0,141,0.282
KLHL12,0,41,0.082
KLF9,0,113,0.226
KLHDC1,0,22,0.044
KLHDC10,0,14,0.028
KLHDC2,0,16,0.032
KLHDC3,0,79,0.158
KLHDC4,0,49,0.098
KLHDC7A,0,110,0.22
KLHDC7B,0,92,0.184
KLHDC8A,0,64,0.128
KLHDC8B,0,97,0.194
KLHDC9,0,101,0.202
KLHL1,0,110,0.22
KLHL10,0,84,0.168
KLHL11,0,48,0.096
KIAA2018,0,40,0.08
KIAA2013,0,78,0.156
KIAA1958,0,95,0.19
KHDRBS1,0,16,0.032
KDM5C,0,62,0.124
KDM5D,0,93,0.186
KDM6A,0,30,0.06
KDM6B,0,49,0.098
KDM7A,0,8,0.016
KDM8,0,112,0.224
KDR,0,33,0.066
KDSR,0,58,0.116
KEAP1,0,34,0.068
KEL,0,82,0.164
KERA,0,59,0.118
KGFLP2,0,161,0.322
KHDC1L,0,82,0.164
KHDC3L,0,68,0.136
KHDRBS2,0,104,0.208
KDM5A,0,44,0.088
KHDRBS3,0,68,0.136
KHK,0,91,0.182
KHNYN,0,125,0.25
KHSRP,0,91,0.182
KIAA0020,0,5,0.01
KIAA0040,0,42,0.084
KIAA0087,0,62,0.124
KIAA0100,0,24,0.048
KIAA0101,0,130,0.26
KIAA0125,0,133,0.266
KIAA0141,0,55,0.11
KIAA0195,0,104,0.208
KIAA0196,0,1,0.002
KIAA0226,0,37,0.074
KDM5B,0,35,0.07
KDM4D,0,90,0.18
KIAA1919,0,20,0.04
KCTD7,0,23,0.046
KCTD12,0,84,0.168
KCTD13,0,47,0.094
KCTD15,0,72,0.144
KCTD16,0,48,0.096
KCTD17,0,18,0.036
KCTD18,0,24,0.048
KCTD19,0,31,0.062
KCTD2,0,44,0.088
KCTD20,0,43,0.086
KCTD21,0,101,0.202
KCTD3,0,31,0.062
KCTD4,0,45,0.09
KCTD5,0,57,0.114
KCTD6,0,57,0.114
KCTD9,0,72,0.144
KDM4C,0,15,0.03
KDELC1,0,145,0.29
KDELC2,0,67,0.134
KDELR1,0,98,0.196
KDELR2,0,63,0.126
KDELR3,0,58,0.116
KDF1,0,37,0.074
KDM1A,0,13,0.026
KDM1B,0,39,0.078
KDM2A,0,21,0.042
KDM2B,0,25,0.05
KDM3A,0,27,0.054
KDM3B,0,14,0.028
KDM4A,0,56,0.112
KDM4B,0,84,0.168
KIAA0226L,0,52,0.104
KIAA0232,0,18,0.036
KIAA0247,0,57,0.114
KIAA1549L,0,18,0.036
KIAA1324L,0,159,0.318
KIAA1328,0,77,0.154
KIAA1377,0,69,0.138
KIAA1407,0,58,0.116
KIAA1429,0,9,0.018
KIAA1430,0,48,0.096
KIAA1432,0,8,0.016
KIAA1456,0,135,0.27
KIAA1462,0,66,0.132
KIAA1467,0,81,0.162
KIAA1468,0,12,0.024
KIAA1522,0,38,0.076
KIAA1524,0,86,0.172
KIAA1549,0,57,0.114
KIAA1551,0,84,0.168
KIAA0319,0,125,0.25
KIAA1586,0,52,0.104
KIAA1598,0,136,0.272
KIAA1614,0,99,0.198
KIAA1644,0,61,0.122
KIAA1656,0,59,0.118
KIAA1671,0,78,0.156
KIAA1683,0,53,0.106
KIAA1715,0,6,0.012
KIAA1731,0,43,0.086
KIAA1751,0,14,0.028
KIAA1755,0,13,0.026
KIAA1804,0,157,0.314
KIAA1841,0,83,0.166
KIAA1875,0,65,0.13
KIAA1324,0,69,0.138
KIAA1279,0,39,0.078
KIAA1257,0,64,0.128
KIAA1244,0,55,0.11
KIAA0319L,0,47,0.094
KIAA0355,0,42,0.084
KIAA0368,0,6,0.012
KIAA0391,0,53,0.106
KIAA0408,0,46,0.092
KIAA0430,0,56,0.112
KIAA0513,0,42,0.084
KIAA0556,0,43,0.086
KIAA0586,0,8,0.016
KIAA0753,0,28,0.056
KIAA0825,0,56,0.112
KIAA0895,0,79,0.158
KIAA0895L,0,140,0.28
KIAA0907,0,12,0.024
KIAA0922,0,25,0.05
KIAA0930,0,32,0.064
KIAA1024,0,197,0.394
KIAA1033,0,35,0.07
KIAA1045,0,22,0.044
KIAA1107,0,87,0.174
KIAA1109,0,73,0.146
KIAA1143,0,46,0.092
KIAA1147,0,25,0.05
KIAA1161,0,122,0.244
KIAA1191,0,16,0.032
KIAA1210,0,253,0.506
KIAA1211,0,138,0.276
KIAA1211L,0,130,0.26
KIAA1217,0,49,0.098
IRAK3,0,41,0.082
IRAK1BP1,0,32,0.064
HNRNPC,0,24,0.048
HUNK,0,118,0.236
HTR2C,0,179,0.358
HTR3A,0,35,0.07
HTR3B,0,42,0.084
HTR3C,0,45,0.09
HTR4,0,0,0.0
HTR5A,0,31,0.062
HTR6,0,62,0.124
HTR7,0,156,0.312
HTR7P1,0,73,0.146
HTRA1,0,37,0.074
HTRA2,0,109,0.218
HTRA3,0,98,0.196
HTRA4,0,78,0.156
HTT,0,89,0.178
HUS1,0,27,0.054
HTR2A,0,82,0.164
HUS1B,0,176,0.352
HUWE1,0,109,0.218
HVCN1,0,89,0.178
HYAL1,0,85,0.17
HYAL2,0,124,0.248
HYAL4,0,197,0.394
HYDIN,0,7,0.014
HYI,0,71,0.142
HYKK,0,119,0.238
HYLS1,0,39,0.078
HYOU1,0,51,0.102
HYPK,0,75,0.15
HYPM,0,69,0.138
IAH1,0,38,0.076
HTR2B,0,39,0.078
HTR1F,0,60,0.12
IARS,0,27,0.054
HSPB6,0,130,0.26
HSPA14,0,21,0.042
HSPA1A,0,112,0.224
HSPA1L,0,98,0.196
HSPA2,0,36,0.072
HSPA4,0,18,0.036
HSPA4L,0,82,0.164
HSPA5,0,37,0.074
HSPA6,0,112,0.224
HSPA8,0,42,0.084
HSPA9,0,22,0.044
HSPB1,0,114,0.228
HSPB11,0,9,0.018
HSPB2,0,72,0.144
HSPB3,0,98,0.196
HSPB7,0,128,0.256
HTR1E,0,75,0.15
HSPB8,0,98,0.196
HSPB9,0,128,0.256
HSPBAP1,0,64,0.128
HSPBP1,0,58,0.116
HSPD1,0,54,0.108
HSPE1,0,28,0.056
HSPH1,0,20,0.04
HTATIP2,0,32,0.064
HTATSF1,0,35,0.07
HTN1,0,28,0.056
HTN3,0,136,0.272
HTR1A,0,30,0.06
HTR1B,0,51,0.102
HTR1D,0,45,0.09
IAPP,0,119,0.238
IARS2,0,10,0.02
IFNA8,0,65,0.13
IFIH1,0,88,0.176
IER3IP1,0,14,0.028
IER5,0,56,0.112
IER5L,0,51,0.102
IFFO1,0,50,0.1
IFFO2,0,104,0.208
IFI16,0,77,0.154
IFI27,0,174,0.348
IFI27L1,0,40,0.08
IFI27L2,0,81,0.162
IFI30,0,111,0.222
IFI35,0,108,0.216
IFI44,0,148,0.296
IFI44L,0,133,0.266
IFI6,0,123,0.246
IFIT1,0,125,0.25
IER2,0,98,0.196
IFIT2,0,116,0.232
IFIT3,0,145,0.29
IFIT5,0,66,0.132
IFITM1,0,93,0.186
IFITM10,0,44,0.088
IFITM2,0,114,0.228
IFITM3,0,104,0.208
IFNA10,0,152,0.304
IFNA14,0,65,0.13
IFNA16,0,173,0.346
IFNA17,0,37,0.074
IFNA2,0,142,0.284
IFNA21,0,70,0.14
IFNA4,0,59,0.118
IER3,0,104,0.208
IDUA,0,70,0.14
IBA57,0,148,0.296
ICOSLG,0,165,0.33
IBSP,0,24,0.048
IBTK,0,15,0.03
ICA1,0,113,0.226
ICA1L,0,112,0.224
ICAM1,0,110,0.22
ICAM2,0,35,0.07
ICAM3,0,93,0.186
ICAM4,0,140,0.28
ICAM5,0,83,0.166
ICE1,0,6,0.012
ICE2,0,5,0.01
ICK,0,24,0.048
ICMT,0,69,0.138
ICOS,0,59,0.118
ICT1,0,42,0.084
IDS,0,44,0.088
ID1,0,79,0.158
ID2,0,59,0.118
ID3,0,91,0.182
ID4,0,81,0.162
IDE,0,18,0.036
IDH1,0,19,0.038
IDH2,0,47,0.094
IDH3A,0,21,0.042
IDH3B,0,31,0.062
IDH3G,0,58,0.116
IDI2,0,186,0.372
IDNK,0,83,0.166
IDO1,0,160,0.32
IDO2,0,150,0.3
HSPA13,0,22,0.044
HSPA12B,0,109,0.218
HSPA12A,0,173,0.346
HOXD11,0,101,0.202
HOXB6,0,76,0.152
HOXB7,0,116,0.232
HOXB8,0,105,0.21
HOXB9,0,102,0.204
HOXC10,0,38,0.076
HOXC11,0,26,0.052
HOXC12,0,94,0.188
HOXC13,0,107,0.214
HOXC5,0,152,0.304
HOXC6,0,15,0.03
HOXC8,0,36,0.072
HOXC9,0,187,0.374
HOXD1,0,124,0.248
HOXD10,0,60,0.12
HOXD12,0,115,0.23
HOXB4,0,68,0.136
HOXD13,0,141,0.282
HOXD3,0,85,0.17
HOXD4,0,161,0.322
HOXD8,0,94,0.188
HOXD9,0,55,0.11
HP,0,121,0.242
HP1BP3,0,10,0.02
HPCA,0,65,0.13
HPCAL1,0,69,0.138
HPCAL4,0,171,0.342
HPD,0,87,0.174
HPDL,0,158,0.316
HPGD,0,108,0.216
HPGDS,0,44,0.088
HOXB5,0,58,0.116
HOXB3,0,75,0.15
HSP90B1,0,83,0.166
HOOK2,0,57,0.114
HNRNPD,0,29,0.058
HNRNPDL,0,20,0.04
HNRNPK,0,100,0.2
HNRNPL,0,70,0.14
HNRNPLL,0,14,0.028
HNRNPM,0,29,0.058
HNRNPR,0,16,0.032
HNRNPUL1,0,35,0.07
HNRNPUL2,0,14,0.028
HOGA1,0,61,0.122
HOMER1,0,108,0.216
HOMER2,0,149,0.298
HOMER3,0,129,0.258
HOOK1,0,62,0.124
HOOK3,0,15,0.03
HOXB2,0,108,0.216
HOPX,0,91,0.182
HORMAD1,0,74,0.148
HORMAD2,0,92,0.184
HOXA10,0,158,0.316
HOXA11,0,35,0.07
HOXA13,0,64,0.128
HOXA2,0,79,0.158
HOXA3,0,102,0.204
HOXA4,0,63,0.126
HOXA5,0,36,0.072
HOXA6,0,64,0.128
HOXA7,0,76,0.152
HOXB1,0,92,0.184
HOXB13,0,119,0.238
HPN,0,65,0.13
HPR,0,74,0.148
